iter	Passed	Remaining
0	1	123
1	2	110
2	3	106
3	4	96
4	5	95
5	5	93
6	7	93
7	8	95
8	9	95
9	10	95
10	11	93
11	12	92
12	13	90
13	14	89
14	15	88
15	16	87
16	17	86
17	18	85
18	19	84
19	20	83
20	21	82
21	22	81
22	23	79
23	24	78
24	25	77
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	69
31	32	68
32	33	67
33	34	66
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
