iter	Passed	Remaining
0	2	2324
1	3	1916
2	6	2039
3	8	2086
4	10	2023
5	11	1935
6	13	1881
7	14	1852
8	16	1820
9	18	1782
10	19	1750
11	22	1829
12	23	1810
13	25	1791
14	27	1791
15	28	1776
16	30	1757
17	31	1741
18	33	1736
19	35	1759
20	38	1774
21	39	1774
22	41	1760
23	43	1751
24	44	1738
25	46	1727
26	47	1719
27	49	1711
28	52	1744
29	53	1739
30	55	1726
31	57	1725
32	58	1720
33	60	1710
34	61	1698
35	63	1695
36	66	1726
37	68	1723
38	69	1716
39	71	1707
40	72	1700
41	74	1690
42	75	1682
43	76	1670
44	78	1666
45	80	1661
46	82	1673
47	84	1668
48	85	1662
49	87	1656
50	88	1649
51	89	1639
52	91	1635
53	92	1626
54	94	1617
55	96	1630
56	98	1629
57	99	1622
58	101	1617
59	102	1610
60	104	1609
61	105	1601
62	107	1594
63	108	1590
64	111	1599
65	113	1600
66	114	1598
67	116	1592
68	117	1590
69	119	1583
70	120	1577
71	121	1570
72	123	1564
73	124	1557
74	126	1560
75	128	1562
76	130	1558
77	131	1555
78	133	1555
79	134	1552
80	136	1553
81	138	1549
82	139	1539
83	142	1548
84	143	1547
85	146	1555
86	148	1556
87	149	1554
88	151	1551
89	153	1547
90	154	1546
91	157	1553
92	159	1553
93	161	1552
94	162	1549
95	164	1548
96	166	1550
97	168	1548
98	170	1549
99	172	1553
100	174	1554
101	176	1551
102	178	1551
103	179	1548
104	181	1544
105	182	1541
106	184	1540
107	187	1546
108	188	1544
109	190	1542
110	192	1540
111	193	1537
112	195	1533
113	197	1532
114	198	1530
115	201	1536
116	203	1535
117	205	1534
118	206	1532
119	208	1529
120	210	1527
121	211	1523
122	213	1521
123	215	1520
124	218	1527
125	219	1524
126	221	1520
127	223	1519
128	224	1518
129	226	1515
130	227	1511
131	229	1510
132	232	1514
133	234	1512
134	235	1511
135	237	1509
136	239	1505
137	240	1502
138	242	1500
139	244	1500
140	246	1503
141	248	1499
142	250	1498
143	251	1497
144	253	1496
145	256	1497
146	257	1495
147	259	1495
148	262	1496
149	264	1497
150	265	1494
151	267	1492
152	269	1492
153	271	1490
154	273	1489
155	275	1489
156	277	1491
157	279	1489
158	281	1487
159	283	1486
160	284	1481
161	285	1479
162	287	1476
163	289	1476
164	291	1477
165	293	1475
166	295	1472
167	297	1472
168	299	1473
169	301	1472
170	303	1471
171	306	1475
172	308	1475
173	310	1475
174	313	1478
175	315	1476
176	317	1474
177	318	1472
178	321	1474
179	323	1472
180	325	1471
181	326	1469
182	328	1467
183	330	1464
184	331	1461
185	333	1458
186	335	1458
187	337	1457
188	339	1455
189	340	1452
190	342	1451
191	344	1448
192	346	1446
193	347	1444
194	350	1446
195	352	1446
196	354	1443
197	355	1441
198	357	1439
199	359	1436
200	360	1433
201	362	1430
202	364	1431
203	366	1429
204	368	1427
205	369	1424
206	371	1422
207	372	1419
208	374	1416
209	375	1414
210	377	1412
211	379	1412
212	381	1410
213	383	1407
214	384	1404
215	386	1402
216	387	1399
217	389	1396
218	390	1393
219	392	1390
220	394	1392
221	396	1389
222	398	1386
223	399	1384
224	401	1381
225	402	1378
226	404	1376
227	405	1374
228	407	1371
229	410	1374
230	412	1373
231	414	1371
232	415	1368
233	417	1365
234	418	1363
235	420	1360
236	422	1358
237	424	1358
238	425	1356
239	427	1353
240	428	1350
241	430	1348
242	431	1345
243	433	1343
244	435	1342
245	437	1342
246	439	1341
247	441	1339
248	443	1337
249	445	1335
250	446	1333
251	448	1330
252	450	1328
253	451	1326
254	453	1325
255	455	1323
256	456	1320
257	458	1318
258	459	1315
259	461	1313
260	463	1311
261	465	1310
262	467	1309
263	469	1309
264	471	1307
265	473	1305
266	474	1303
267	476	1301
268	478	1300
269	480	1297
270	481	1296
271	484	1295
272	486	1294
273	487	1292
274	489	1291
275	491	1289
276	493	1287
277	494	1285
278	497	1285
279	499	1283
280	501	1282
281	502	1280
282	504	1278
283	506	1276
284	507	1274
285	509	1272
286	511	1270
287	513	1270
288	515	1268
289	517	1266
290	519	1265
291	521	1263
292	522	1261
293	524	1258
294	525	1256
295	528	1255
296	529	1254
297	531	1252
298	533	1250
299	535	1248
300	536	1246
301	538	1244
302	540	1242
303	542	1240
304	544	1240
305	546	1239
306	548	1238
307	550	1236
308	552	1235
309	554	1234
310	556	1233
311	558	1232
312	560	1229
313	561	1227
314	563	1226
315	565	1223
316	566	1221
317	568	1219
318	570	1217
319	572	1215
320	573	1213
321	575	1211
322	577	1209
323	578	1207
324	580	1205
325	581	1203
326	583	1201
327	586	1201
328	588	1201
329	590	1199
330	592	1197
331	594	1195
332	595	1193
333	597	1191
334	599	1189
335	601	1187
336	602	1186
337	604	1184
338	606	1181
339	607	1179
340	609	1177
341	611	1175
342	612	1173
343	614	1172
344	618	1173
345	619	1171
346	621	1169
347	622	1166
348	624	1164
349	625	1162
350	627	1159
351	628	1157
352	630	1156
353	632	1154
354	634	1152
355	636	1150
356	637	1148
357	639	1146
358	641	1144
359	643	1143
360	645	1142
361	646	1140
362	648	1138
363	650	1136
364	651	1134
365	653	1132
366	655	1130
367	657	1128
368	658	1126
369	661	1125
370	662	1123
371	664	1121
372	665	1119
373	667	1116
374	668	1114
375	670	1112
376	672	1111
377	674	1110
378	677	1109
379	679	1108
380	681	1106
381	683	1104
382	684	1103
383	686	1101
384	688	1099
385	690	1098
386	692	1096
387	694	1094
388	695	1092
389	697	1091
390	699	1089
391	701	1087
392	702	1085
393	704	1083
394	706	1081
395	708	1079
396	709	1077
397	711	1075
398	713	1073
399	714	1071
400	716	1070
401	718	1068
402	720	1066
403	722	1065
404	723	1063
405	725	1061
406	727	1059
407	728	1057
408	730	1055
409	731	1053
410	733	1051
411	735	1049
412	737	1047
413	738	1045
414	740	1044
415	742	1041
416	743	1039
417	745	1037
418	746	1035
419	748	1033
420	750	1032
421	752	1030
422	753	1028
423	755	1026
424	757	1024
425	758	1022
426	760	1020
427	761	1018
428	763	1016
429	765	1015
430	767	1013
431	769	1011
432	771	1009
433	772	1007
434	774	1005
435	775	1003
436	777	1001
437	779	999
438	781	998
439	783	997
440	785	995
441	786	993
442	788	991
443	790	989
444	792	988
445	794	986
446	796	985
447	798	983
448	800	981
449	801	980
450	803	978
451	805	976
452	807	974
453	810	974
454	812	972
455	813	970
456	815	968
457	816	966
458	818	964
459	820	962
460	821	960
461	824	959
462	826	958
463	827	956
464	829	954
465	831	952
466	832	950
467	834	948
468	836	946
469	838	945
470	839	943
471	841	941
472	843	939
473	844	937
474	846	935
475	847	933
476	849	931
477	851	929
478	853	928
479	855	926
480	857	924
481	858	922
482	860	921
483	862	919
484	863	917
485	865	915
486	867	913
487	869	912
488	871	910
489	873	908
490	874	906
491	876	904
492	877	902
493	879	901
494	881	899
495	884	898
496	886	896
497	887	894
498	889	892
499	890	890
500	892	888
501	894	886
502	895	885
503	897	883
504	899	881
505	901	879
506	902	877
507	903	875
508	905	873
509	907	871
510	908	869
511	910	867
512	911	865
513	913	863
514	915	861
515	916	859
516	917	857
517	919	855
